Post_ID,Dominant_Topic,Topic_Proportion,Topics
56773951,9,0.825398,9(0.825398) 1(0.128398) 8(0.038915) 4(0.002694) 3(0.001468) 0(0.001305) 7(0.000817) 5(0.000495) 2(0.000265) 6(0.000244)
56782078,2,0.448301,2(0.448301) 7(0.244024) 8(0.223891) 4(0.082781) 1(0.000542) 6(0.000140) 0(0.000128) 5(0.000083) 3(0.000070) 9(0.000040)
56823604,2,0.332985,2(0.332985) 5(0.225662) 1(0.195881) 0(0.182851) 7(0.061461) 4(0.000859) 8(0.000110) 9(0.000071) 3(0.000066) 6(0.000054)
56823895,4,0.504351,4(0.504351) 0(0.279998) 9(0.168316) 7(0.043468) 6(0.001122) 3(0.000958) 5(0.000623) 8(0.000613) 1(0.000487) 2(0.000064)
56827808,1,0.838291,1(0.838291) 8(0.084010) 9(0.075136) 3(0.001126) 6(0.000494) 5(0.000346) 2(0.000183) 4(0.000154) 7(0.000144) 0(0.000116)
56841842,0,0.671170,0(0.671170) 8(0.155642) 5(0.105565) 7(0.039497) 1(0.027006) 2(0.000437) 6(0.000366) 3(0.000158) 4(0.000095) 9(0.000064)
56871714,9,0.586310,9(0.586310) 8(0.264320) 0(0.144718) 1(0.001783) 5(0.000809) 3(0.000782) 6(0.000496) 2(0.000381) 4(0.000315) 7(0.000084)
56874689,6,0.449723,6(0.449723) 0(0.258967) 2(0.204888) 5(0.083416) 7(0.001074) 1(0.000762) 9(0.000422) 4(0.000361) 3(0.000261) 8(0.000125)
56879734,1,0.863321,1(0.863321) 4(0.129025) 2(0.003197) 0(0.001196) 7(0.000688) 8(0.000641) 6(0.000593) 5(0.000556) 3(0.000544) 9(0.000240)
56892346,9,0.800968,9(0.800968) 2(0.095833) 8(0.078229) 6(0.023203) 3(0.000616) 7(0.000328) 0(0.000307) 1(0.000205) 5(0.000164) 4(0.000147)
56893835,4,0.378286,4(0.378286) 2(0.275639) 6(0.129958) 5(0.113768) 7(0.100329) 9(0.001363) 1(0.000211) 0(0.000180) 8(0.000156) 3(0.000110)
56910228,2,0.451726,2(0.451726) 6(0.224546) 5(0.160922) 9(0.157868) 7(0.001833) 3(0.001039) 4(0.000978) 1(0.000719) 0(0.000230) 8(0.000139)
